title;genre;distributor;year
Awake;Thriller-or-Suspense;Weinstein Co.;2007
Pathology;Thriller-or-Suspense;MGM;2008
Cover;Thriller-or-Suspense;Reel Diva Consultants;2008
Midnight Meat Train;Thriller-or-Suspense;Lionsgate;2008
Youth Without Youth;Thriller-or-Suspense;Sony Pictures Classics;2007
Stuck;Thriller-or-Suspense;ThinkFilm;2008
Diva;Thriller-or-Suspense;MGM;1982
Boarding Gate;Thriller-or-Suspense;Magnet Pictures;2008
Du rififi chez les hommes;Thriller-or-Suspense;;1956
The Alphabet Killer;Thriller-or-Suspense;Anchor Bay Entertainment;2008
While She Was Out;Thriller-or-Suspense;Anchor Bay Entertainment;2008
Los Cronocrímenes;Thriller-or-Suspense;Magnolia Pictures;2008
The Cry;Thriller-or-Suspense;Monterey Media;2008
Anamorph;Thriller-or-Suspense;IFC Films;2008
Insidious;Thriller-or-Suspense;Romantic Troubadour Entertainment;2008
La Question Humaine;Thriller-or-Suspense;New Yorker;2008
Red;Thriller-or-Suspense;Magnolia Pictures;2008
Sleuth;Thriller-or-Suspense;Sony Pictures Classics;2007
San taam;Thriller-or-Suspense;IFC Films;2008
On the Other Hand, Death: A Donald Strachey Mystery;Thriller-or-Suspense;Regent Releasing;2008
Murder.com;Thriller-or-Suspense;Regent Releasing;2008
Ice Blues: A Donald Strachey Mystery;Thriller-or-Suspense;Regent Releasing;2008
Fall of Hyperion;Thriller-or-Suspense;Regent Releasing;2008
Taken;Thriller-or-Suspense;20th Century Fox;2009
Angels & Demons;Thriller-or-Suspense;Sony Pictures;2009
District 9;Thriller-or-Suspense;Sony Pictures;2009
Knowing;Thriller-or-Suspense;Summit Entertainment;2009
Law Abiding Citizen;Thriller-or-Suspense;Overture Films;2009
Obsessed;Thriller-or-Suspense;Sony Pictures;2009
State of Play;Thriller-or-Suspense;Universal;2009
Push;Thriller-or-Suspense;Summit Entertainment;2009
The Stepfather;Thriller-or-Suspense;Sony Pictures;2009
The Fourth Kind;Thriller-or-Suspense;Universal;2009
The International;Thriller-or-Suspense;Sony Pictures;2009
Valkyrie;Thriller-or-Suspense;United Artists;2008
Armored;Thriller-or-Suspense;Sony Pictures;2009
A Perfect Getaway;Thriller-or-Suspense;Universal;2009
The Box;Thriller-or-Suspense;Warner Bros.;2009
Crank 2: High Voltage;Thriller-or-Suspense;Lionsgate;2009
Whiteout;Thriller-or-Suspense;Warner Bros.;2009
Moon;Thriller-or-Suspense;Sony Pictures Classics;2009
Sin Nombre;Thriller-or-Suspense;Focus Features;2009
Män som hatar kvinnor;Thriller-or-Suspense;Music Box Films;2009
Los abrazos rotos;Thriller-or-Suspense;Sony Pictures Classics;2009
Kaminey;Thriller-or-Suspense;UTV Communications;2009
5150, Rue des Ormes;Thriller-or-Suspense;;2009
Echelon Conspiracy;Thriller-or-Suspense;After Dark;2009
Flickan som lekte med elden;Thriller-or-Suspense;;2009
The Limits of Control;Thriller-or-Suspense;Focus Features;2009
Wanted;Thriller-or-Suspense;Eros Entertainment;2009
The Informers;Thriller-or-Suspense;Senator Entertainment;2009
Revanche;Thriller-or-Suspense;Janus Films;2009
Ghajini;Thriller-or-Suspense;AdLab Films;2008
Flammen og Citronen;Thriller-or-Suspense;IFC Films;2009
12;Thriller-or-Suspense;Sony Pictures Classics;2009
Carriers;Thriller-or-Suspense;Paramount Vantage;2009
Z;Thriller-or-Suspense;Rialto Pictures;1969
Sleep Dealer;Thriller-or-Suspense;Maya Releasing;2009
Body of Lies;Thriller-or-Suspense;Warner Bros.;2008
Julia;Thriller-or-Suspense;Magnolia Pictures;2009
Ne le dis à personne;Thriller-or-Suspense;Music Box Films;2008
Not Forgotten;Thriller-or-Suspense;Anchor Bay Entertainment;2009
Eagle Eye;Thriller-or-Suspense;Paramount Pictures;2008
Le combat dans l'île;Thriller-or-Suspense;The Film Desk;2009
Beyond a Reasonable Doubt;Thriller-or-Suspense;Anchor Bay Entertainment;2009
Changeling;Thriller-or-Suspense;Universal;2008
Surveillance;Thriller-or-Suspense;Magnolia Pictures;2009
Death in Love;Thriller-or-Suspense;Screen Media Films;2009
Donkey Punch;Thriller-or-Suspense;Magnolia Pictures;2009
Killshot;Thriller-or-Suspense;Weinstein Co.;2009
Los Cronocrímenes;Thriller-or-Suspense;Magnolia Pictures;2008
The Escapist;Thriller-or-Suspense;ThinkFilm;2009
The Skeptic;Thriller-or-Suspense;IFC Films;2009
The Perfect Sleep;Thriller-or-Suspense;Cinema Epoch;2009
Pontypool;Thriller-or-Suspense;IFC Films;2009
The Canyon;Thriller-or-Suspense;Truly Indie;2009
Shanghai Red;Thriller-or-Suspense;Indican Pictures;2010
Inception;Thriller-or-Suspense;Warner Bros.;2010
Shutter Island;Thriller-or-Suspense;Paramount Pictures;2010
Salt;Thriller-or-Suspense;Sony Pictures;2010
The Town;Thriller-or-Suspense;Warner Bros.;2010
Takers;Thriller-or-Suspense;Sony Pictures;2010
The Tourist;Thriller-or-Suspense;Sony Pictures;2010
Black Swan;Thriller-or-Suspense;Fox Searchlight;2010
Edge of Darkness;Thriller-or-Suspense;Warner Bros.;2010
The American;Thriller-or-Suspense;Focus Features;2010
Brooklyn's Finest;Thriller-or-Suspense;Overture Films;2010
From Paris With Love;Thriller-or-Suspense;Lionsgate;2010
Skyline;Thriller-or-Suspense;Universal;2010
The Next Three Days;Thriller-or-Suspense;Lionsgate;2010
The Ghost Writer;Thriller-or-Suspense;Summit Entertainment;2010
Män som hatar kvinnor;Thriller-or-Suspense;Music Box Films;2009
