title;genre;distributor;year
Cinco de Mayo, La Batalla;Action;Lionsgate;2013
Jeonseolui Joomeok;Action;CJ Entertainment;2013
Un flic;Action;Rialto Pictures;2013
Yip Man: Jung gik yat jin;Action;Well Go USA;2013
Tai Chi Hero;Action;Well Go USA;2013
The Sweeney;Action;Entertainment One;2013
Bai she chuan shuo;Action;Magnolia Pictures;2013
Violet and Daisy;Action;Cinedigm;2013
Pawn Shop Chronicles;Action;Anchor Bay Entertainment;2013
The Package;Action;Anchor Bay Entertainment;2013
Hammer of the Gods;Action;Magnet Pictures;2013
Guardians of the Galaxy;Action;Walt Disney;2014
Captain America: The Winter Soldier;Action;Walt Disney;2014
Transformers: Age of Extinction;Action;Paramount Pictures;2014
X-Men: Days of Future Past;Action;Fox;2014
The Amazing Spider-Man 2;Action;Sony Pictures;2014
Godzilla;Action;Warner Bros.;2014
Lucy;Action;Universal;2014
Lone Survivor;Action;Universal;2013
300: Rise of an Empire;Action;Warner Bros.;2014
The Maze Runner;Action;20th Century Fox;2014
The Equalizer;Action;Sony Pictures;2014
Edge of Tomorrow;Action;Warner Bros.;2014
Non-Stop;Action;Universal;2014
RoboCop;Action;Sony Pictures;2014
Dracula Untold;Action;Universal;2014
Jack Ryan: Shadow Recruit;Action;Paramount Pictures;2014
Need for Speed;Action;Walt Disney;2014
John Wick;Action;Lionsgate;2014
The Expendables 3;Action;Lionsgate;2014
A Walk Among the Tombstones;Action;Universal;2014
Pompeii;Action;Sony Pictures;2014
Brick Mansions;Action;Relativity;2014
I, Frankenstein;Action;Lionsgate;2014
Sin City: A Dame to Kill For;Action;Weinstein Co.;2014
Sabotage;Action;Open Road;2014
47 Ronin;Action;Universal;2013
Thor: The Dark World;Action;Walt Disney;2013
Myeong-ryang;Action;CJ Entertainment;2014
Serbuan maut 2: Berandal;Action;Sony Pictures Classics;2014
Bang Bang;Action;FIP;2014
Kick;Action;UTV Communications;2014
Singham Returns;Action;Eros Entertainment;2014
Jai Ho;Action;Eros Entertainment;2014
Kochadaiiyaan;Action;Eros Entertainment;2014
Ek Villain;Action;Eros Entertainment;2014
Innocence;Action;JSC Entertainment;2014
The Breakup Guru;Action;China Lion Film Distribution;2014
Dhoom 3;Action;Yash Raj Films;2013
Action Jackson;Action;Lorimar Motion Pictures;1988
Kundo: min-ran-eui-si-dae;Action;Well Go USA;2014
Tiger & Bunny the Movie: The Rising;Action;Eleven Arts;2014
Jigoku de naze warui;Action;Drafthouse Films;2014
Guardian Angel;Action;Richmond Media Entertainment;2014
Falcon Rising;Action;Freestyle Releasing;2014
Bing Fung: Chung Sang Chi Mun;Action;Well Go USA;2014
Autoreiji: Biyondo;Action;Magnolia Pictures;2014
Raze;Action;IFC Midnight;2014
Black Out;Action;Music Box Films;2014
Revenge of the Green Dragons;Action;A24;2014
Tom yum goong 2;Action;Magnet Pictures;2014
Arme Riddere;Action;Doppelganger Releasing;2014
Jurassic World;Action;Universal;2015
Avengers: Age of Ultron;Action;Walt Disney;2015
Furious 7;Action;Universal;2015
Spectre;Action;Sony Pictures;2015
Mission: Impossible—Rogue Nation;Action;Paramount Pictures;2015
Ant-Man;Action;Walt Disney;2015
Mad Max: Fury Road;Action;Warner Bros.;2015
The Divergent Series: Insurgent;Action;Lionsgate;2015
Kingsman: The Secret Service;Action;20th Century Fox;2015
Terminator: Genisys;Action;Paramount Pictures;2015
Taken 3;Action;Fox;2015
Maze Runner: The Scorch Trials;Action;20th Century Fox;2015
Fantastic Four;Action;Fox;2015
Jupiter Ascending;Action;Warner Bros.;2015
