title;genre;distributor;year
Zookeeper;Romantic-Comedy;Sony Pictures;2011
No Strings Attached;Romantic-Comedy;Paramount Pictures;2011
Midnight in Paris;Romantic-Comedy;Sony Pictures Classics;2011
Friends with Benefits;Romantic-Comedy;Sony Pictures;2011
New Year's Eve;Romantic-Comedy;Warner Bros.;2011
Something Borrowed;Romantic-Comedy;Warner Bros.;2011
Jumping the Broom;Romantic-Comedy;Sony Pictures;2011
Larry Crowne;Romantic-Comedy;Universal;2011
Arthur;Romantic-Comedy;Warner Bros.;2011
Monte Carlo;Romantic-Comedy;20th Century Fox;2011
What's Your Number?;Romantic-Comedy;20th Century Fox;2011
How Do You Know?;Romantic-Comedy;Sony Pictures;2010
From Prada to Nada;Romantic-Comedy;Lionsgate;2011
The Art of Getting By;Romantic-Comedy;Fox Searchlight;2011
No Eres Tu, Soy Yo;Romantic-Comedy;Lionsgate;2011
The Heart Specialist;Romantic-Comedy;Freestyle Releasing;2011
Mere Brother Ki Dulhan;Romantic-Comedy;Yash Raj Films;2011
Life as We Know It;Romantic-Comedy;Warner Bros.;2010
Joueuse;Romantic-Comedy;Zeitgeist;2011
Jihne Mera Dil Luteya;Romantic-Comedy;Viva Entertainment;2011
Thank You;Romantic-Comedy;UTV Communications;2011
Happythankyoumoreplease;Romantic-Comedy;Anchor Bay Entertainment;2011
La Bonheur des autres;Romantic-Comedy;Entertainment One;2011
35 and Ticking;Romantic-Comedy;Image Entertainment;2011
When Harry Tries to Marry;Romantic-Comedy;108 Pics;2011
Love in Space;Romantic-Comedy;China Lion Film Distribution;2011
Waiting for Forever;Romantic-Comedy;Freestyle Releasing;2011
Ceremony;Romantic-Comedy;Magnolia Pictures;2011
All's Faire in Love;Romantic-Comedy;Hannover House;2011
Griff the Invisible;Romantic-Comedy;Indomina Releasing;2011
Feed the Fish;Romantic-Comedy;Strand;2010
A Bird of the Air;Romantic-Comedy;Paladin;2011
Chalet Girl;Romantic-Comedy;IFC Films;2011
Think Like a Man;Romantic-Comedy;Sony Pictures;2012
Hope Springs;Romantic-Comedy;Sony Pictures;2012
This Means War;Romantic-Comedy;20th Century Fox;2012
What to Expect When You're Expecting;Romantic-Comedy;Lionsgate;2012
The Five-Year Engagement;Romantic-Comedy;Universal;2012
To Rome with Love;Romantic-Comedy;Sony Pictures Classics;2012
Playing for Keeps;Romantic-Comedy;FilmDistrict;2012
New Year's Eve;Romantic-Comedy;Warner Bros.;2011
Friends with Kids;Romantic-Comedy;Roadside Attractions;2012
