title;genre;distributor;year
Star Wars: The Clone Wars;Adventure;Warner Bros.;2008
Space Chimps;Adventure;20th Century Fox;2008
Igor;Adventure;MGM;2008
The Pirates Who Don't Do Anything: A VeggieTales Movie;Adventure;Universal;2008
Fly Me To the Moon;Adventure;Summit Entertainment;2008
Meet Dave;Adventure;20th Century Fox;2008
The Water Horse: Legend of the Deep;Adventure;Sony Pictures;2007
City of Ember;Adventure;20th Century Fox;2008
The Golden Compass;Adventure;New Line;2007
Bee Movie;Adventure;Paramount Pictures;2007
The Polar Express;Adventure;Warner Bros.;2004
Beowulf;Adventure;Paramount Pictures;2007
Astérix aux Jeux Olympiques;Adventure;;2008
Delgo;Adventure;Freestyle Releasing;2008
Heroes;Adventure;Eros Entertainment;2008
Santa vs. The Snowman;Adventure;IMAX Films;2002
Drona;Adventure;Eros Entertainment;2008
C'est pas moi, je le jure!;Adventure;;2008
長江七號 (CJ7);Adventure;Sony Pictures Classics;2008
The Darjeeling Limited;Adventure;Fox Searchlight;2007
The Flyboys;Adventure;Self Distributed;2008
Haunted Castle;Adventure;nWave Pictures;2001
Christmas in Wonderland;Adventure;Yari Film Group Releasing;2007
A Plumm Summer;Adventure;Freestyle Releasing;2008
Roadside Romeo;Adventure;Yash Raj Films;2008
Blue Gap Boy'z;Adventure;Better World Distribution;2008
Passage to Zarahemla;Adventure;Somerset Films;2007
Mission Istaanbul;Adventure;Raja Cinema;2008
One Piece: Episode of Alabaster - Sabaku no Ojou to Kaizoku Tachi;Adventure;The Bigger Picture;2008
Solar Flare;Adventure;Regent Releasing;2008
Camille;Adventure;A-Mark Entertainment;2008
The Holy Mountain;Adventure;Abkco Films;1973
Harry Potter and the Half-Blood Prince;Adventure;Warner Bros.;2009
Up;Adventure;Walt Disney;2009
Star Trek;Adventure;Paramount Pictures;2009
Monsters vs. Aliens;Adventure;Paramount Pictures;2009
Ice Age: Dawn of the Dinosaurs;Adventure;20th Century Fox;2009
Night at the Museum: Battle of the Smithsonian;Adventure;20th Century Fox;2009
