title;genre;distributor;year
In America;Drama;Fox Searchlight;2003
Seraphin un Homme et Son;Drama;Odeon Films;2002
Les invasions barbares;Drama;Miramax;2003
The Magdalene Sisters;Drama;Miramax;2003
Cidade de Deus;Drama;Miramax;2003
The Station Agent;Drama;Miramax;2003
Far From Heaven;Drama;Focus Features;2002
Thirteen;Drama;Fox Searchlight;2003
Frida;Drama;Miramax;2002
Rabbit-Proof Fence;Drama;Miramax;2002
Beyond Borders;Drama;Paramount Pictures;2003
Scarface;Drama;Universal;1983
Better Luck Tomorrow;Drama;Paramount Pictures;2003
The Secret Lives of Dentists;Drama;Manhattan Pictures International;2003
Laurel Canyon;Drama;Sony Pictures Classics;2003
The Good Thief;Drama;Fox Searchlight;2003
The Gospel of John;Drama;ThinkFilm;2003
L'homme du train;Drama;Paramount Vantage;2003
The Dancer Upstairs;Drama;Fox Searchlight;2003
Russkiy kovcheg;Drama;WellSpring;2002
Shattered Glass;Drama;Lionsgate;2003
Raising Victor Vargas;Drama;Samuel Goldwyn Films;2003
Sur Le Seuil;Drama;Alliance Atlantis;2003
Kal Ho Naa Ho;Drama;Yash Raj Films;2003
The Cooler;Drama;Lionsgate;2003
Spider;Drama;Sony Pictures Classics;2003
Veronica Guerin;Drama;Walt Disney;2003
8 Mile;Drama;Universal;2002
Northfork;Drama;Paramount Vantage;2003
Nicholas Nickleby;Drama;United Artists;2002
Sylvia;Drama;Focus Features;2003
Elephant;Drama;Fine Line;2003
Main Prem Ki Diwani Hoon;Drama;Yash Raj Films;2003
El crimen de padre Amaro;Drama;Goldwyn Entertainment;2002
He ni zai yi qi;Drama;United Artists;2003
The Book of Mormon Movie, Volume 1: The Journey;Drama;Distributor Unknown;2003
Respiro;Drama;Sony Pictures Classics;2003
Wonderland;Drama;Lionsgate;2003
Owning Mahowny;Drama;Sony Pictures Classics;2003
Assassination Tango;Drama;MGM;2003
Baghban;Drama;Eros Entertainment;2003
Empire;Drama;Universal;2002
Gaz Bar Blues;Drama;Odeon Films;2003
Girl with a Pearl Earring;Drama;Lionsgate;2003
Irreversible;Drama;Lionsgate;2003
And now... Ladies and Gentlemen;Drama;Paramount Vantage;2003
The Shape of Things;Drama;Focus Features;2003
Koi… Mil Gaya;Drama;Yash Raj Films;2003
The Holy Land;Drama;CAVU Releasing;2003
L.O.C. (Kargil);Drama;Eros Entertainment;2003
Poolhall Junkies;Drama;Gold Circle Films;2003
China: The Panda Adventure;Drama;IMAX Films;2001
All the Real Girls;Drama;Sony Pictures Classics;2003
Masked and Anonymous;Drama;Sony Pictures;2003
Time Changer;Drama;Five & Two Pictures;2002
Cremaster 3;Drama;Palm Pictures;2003
Blizzard;Drama;;2003
Casa de los Babys;Drama;IFC Films;2003
Blue Car;Drama;Miramax;2003
Max;Drama;Lionsgate;2002
Monster;Drama;Newmarket Films;2003
Lockdown;Drama;;2003
Evelyn;Drama;MGM;2002
My Life Without Me;Drama;Sony Pictures;2003
Divine Intervention;Drama;Avatar;2003
City of Ghosts;Drama;MGM;2003
The Safety of Objects;Drama;;2003
Apollo 13;Drama;Universal;1995
The Company;Drama;Sony Pictures;2003
Khushi;Drama;;2003
Sweet Sixteen;Drama;;2003
Armaan;Drama;;2003
Amen;Drama;Kino International;2003
Alexandra's Project;Drama;Film Movement;2003
Civil Brand;Drama;Lionsgate;2003
Tuck Everlasting;Drama;Walt Disney;2002
Saathiya;Drama;;2002
La face cachée de la lune;Drama;TLA Releasing;2003
The Emperor's Club;Drama;Universal;2002
Intacto;Drama;;2002
Tully;Drama;;2002
Madame Satã;Drama;;2003
Yossi & Jagger;Drama;;2003
Ararat;Drama;Miramax;2002
Lilja 4-ever;Drama;Newmarket Films;2003
Love Liza;Drama;;2002
Taking Sides;Drama;New Yorker;2003
Secretary;Drama;Lionsgate;2002
Friday Night (Vendredi Soir);Drama;;2003
Jibeuro;Drama;;2002
Open Hearts;Drama;;2003
Quai des Orfevres;Drama;;2002
11'09''01 - September 11;Drama;Empire Pictures;2003
Charlotte Sometimes;Drama;Small Planet;2003
Till Human Voices Wake Us;Drama;;2003
Personal Velocity;Drama;MGM;2002
Solaris;Drama;20th Century Fox;2002
Touchez Pas au Grisbi;Drama;;2003
Kaante;Drama;Media Partners;2002
Emerald Cowboy;Drama;Indican Pictures;2003
Cet amour-là;Drama;New Yorker;2003
O Fantasma;Drama;;2002
Manic;Drama;;2003
Pinjar;Drama;;2003
The Son;Drama;New Yorker;2003
I Vitelloni;Drama;Kino International;2003
Painted Fire;Drama;;2003
Prey for Rock & Roll;Drama;;2003
The Embalmer;Drama;;2003
Auto Focus;Drama;Sony Pictures Classics;2002
Carnage;Drama;WellSpring;2003
Small Voices;Drama;;2003
Boys Life 4: Four Play;Drama;Strand;2003
Ikiru;Drama;;1956
Love the Hard Way;Drama;;2003
Fat Girl;Drama;Cowboy Pictures;2001
Moonlight Mile;Drama;Walt Disney;2002
Au Hasard Balthazar;Drama;Rialto Pictures;1970
Sennen joyû;Drama;DreamWorks/Go Fish;2003
This Thing of Ours;Drama;;2003
Japanese Story;Drama;IDP Distribution;2003
All or Nothing;Drama;MGM;2002
What Alice Found;Drama;Castle Hill Productions;2003
Snowboarder;Drama;;2003
Porn Theater;Drama;;2003
Bolivia;Drama;;2003
The Fast Runner;Drama;Lot 47 Films;2002
Japón;Drama;;2003
Betty Fisher et autres histoires;Drama;WellSpring;2002
AKA;Drama;Empire Pictures;2003
In Praise of Love;Drama;;2002
From Here to Eternity;Drama;;1953
Takhté siah;Drama;Leisure Time Features;2002
Medea;Drama;;2003
Riri Shushu no subete;Drama;Cowboy Pictures;2002
Hukkle;Drama;Shadow;2003
Bloody Sunday;Drama;Paramount Vantage;2002
Postmen in the Mountains;Drama;Shadow;2004
Camera Obscura;Drama;;2003
Secret Things;Drama;First Run Features;2004
Acts of Worship;Drama;;2003
Love Forbidden;Drama;;2003
Millenium Mambo;Drama;;2003
Zero Day;Drama;Avatar;2003
El Bonaerense;Drama;;2003
The Calling;Drama;Testimony Pictures;2002
Take Care of My Cat;Drama;;2002
Wings of Courage;Drama;Sony Pictures Classics;1995
Kandahar;Drama;Avatar;2001
Smokers Only;Drama;;2002
